urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s97.png,27124,13155,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s98.png,43852,46283,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s99.png,403910,439835,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s100.png,54002,56064,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s104.png,73861,77279,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s107.jpg,282484,240059,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s109.png,21249,11353,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s110a.jpg,83311,70478,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s110b.jpg,61910,38676,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s112.png,39341,40851,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s113.png,32588,34085,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s115a.jpg,129629,90726,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s115b.jpg,130426,91379,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s115c.jpg,131574,92157,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s115d.jpg,132848,92944,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
